Data_Venda;Nome_Cliente;Cidade;Produto;Quantidade;Valor_Unitario;Valor_Total
2025-09-12;Manuella Aragão;Pastor;Mouse;9;2267.48;20407.32
2024-06-02;Eduarda Ferreira;Novaes de Dias;Mouse;5;477.35;2386.75
2024-05-23;Luiz Gustavo Costela;Mendes;Monitor;3;2480.2;7440.6
2024-10-11;Henry Aparecida;Mendes;Teclado;3;182.36;547.08
2023-12-05;Ísis Jesus;Brito;Teclado;4;455.52;1822.08
2025-10-13;Ana Liz Caldeira;Freitas de Leão;Smartphone;1;2404.36;2404.36
2024-06-28;Sra. Kamilly Lima;Gomes;Notebook;2;2030.79;4061.58
2025-05-26;Alexandre da Mota;Jesus;Mouse;7;1559.33;10915.31
2024-06-13;Gael Henrique Ramos;Câmara;Smartphone;2;1007.44;2014.88
2024-11-29;Amanda Sales;Cavalcante da Prata;Notebook;7;2068.58;14480.06
2025-06-25;Dra. Elisa Câmara;Pinto Grande;Notebook;9;295.9;2663.1
2023-11-26;Vinícius Moreira;Pastor da Praia;Mouse;8;2140.85;17126.8
2024-06-01;Henry Albuquerque;da Cunha do Galho;Mouse;4;2984.99;11939.96
2024-08-01;Rael das Neves;Borges da Prata;Mouse;4;968.57;3874.28
2024-02-23;Rodrigo Souza;Teixeira de Castro;Notebook;10;1342.6;13426.0
2025-04-03;João Guilherme Alves;Caldeira;Mouse;3;424.14;1272.42
2025-04-26;Otávio Ferreira;Lopes Grande;Mouse;5;2869.84;14349.2
2024-10-13;Kaique Novais;Vasconcelos;Smartphone;3;611.77;1835.31
2023-12-28;Dra. Nicole Nogueira;da Cruz;Teclado;1;2125.83;2125.83
2024-07-22;Júlia da Mota;Moraes da Mata;Smartphone;7;1774.08;12418.56
2024-02-22;Matteo Carvalho;Albuquerque;Teclado;7;2671.71;18701.97
2025-02-21;Dr. Joaquim Novais;Ferreira das Pedras;Mouse;10;1778.35;17783.5
2024-12-19;Kaique Albuquerque;Araújo;Smartphone;6;1456.16;8736.96
2024-02-08;Sr. Lucas Albuquerque;Rodrigues do Campo;Monitor;7;2293.21;16052.47
2024-04-01;Sra. Aylla Teixeira;Mendonça;Teclado;9;1010.62;9095.58
2024-01-12;Diogo Sales;Aparecida;Notebook;3;521.54;1564.62
2023-10-24;Agatha Araújo;Campos Alegre;Teclado;9;332.49;2992.41
2025-09-09;Alexia Carvalho;Vargas;Smartphone;9;2667.43;24006.87
2024-10-02;Lorena Ferreira;Moreira do Norte;Monitor;4;1636.25;6545.0
2024-08-22;Dr. Pedro Miguel Pinto;da Costa;Monitor;1;1831.4;1831.4
2024-06-15;Francisco Cassiano;Lopes do Norte;Mouse;7;581.38;4069.66
2025-05-31;Stephany da Cruz;Andrade;Notebook;8;2367.25;18938.0
2025-01-10;Yuri Abreu;Moraes do Oeste;Monitor;2;1252.19;2504.38
2024-05-31;Sophie Campos;Almeida Grande;Teclado;8;2185.77;17486.16
2024-12-16;Diego Guerra;Nogueira de Minas;Smartphone;2;1874.31;3748.62
2025-04-19;Melina Santos;Peixoto Alegre;Monitor;8;787.46;6299.68
2024-06-23;Rodrigo da Mota;Mendes das Pedras;Monitor;8;1771.54;14172.32
2025-01-05;Julia Novais;Ferreira;Mouse;6;422.39;2534.34
2025-01-15;Eduarda Aragão;Farias;Mouse;3;1806.55;5419.65
2024-11-28;Vitor Fernandes;Casa Grande de Silveira;Notebook;9;2127.68;19149.12
2024-02-27;Bento Viana;Viana;Smartphone;9;2453.42;22080.78
2024-10-01;Lavínia Mendonça;Lima;Notebook;2;2040.94;4081.88
2024-10-17;Thales Araújo;da Rocha Paulista;Monitor;1;2504.17;2504.17
2023-11-21;Ryan da Paz;Viana;Monitor;4;678.16;2712.64
2023-11-06;Bryan Cavalcanti;Brito;Smartphone;3;1320.96;3962.88
2025-09-12;Júlia Andrade;Macedo do Norte;Teclado;3;2399.59;7198.77
2025-09-10;Camila Moraes;Azevedo Paulista;Notebook;1;950.37;950.37
2024-09-16;Luigi Monteiro;Lopes de Camargo;Notebook;7;1387.97;9715.79
2024-10-26;Bianca Santos;Aragão;Smartphone;10;2216.92;22169.2
2024-06-29;Dra. Maria Cecília Casa Grande;Ramos;Teclado;1;786.48;786.48
2023-10-20;Mirella da Mota;da Conceição;Smartphone;9;956.04;8604.36
2025-09-18;Fernando Mendes;Peixoto;Monitor;8;1304.81;10438.48
2024-04-29;Lucas Gabriel Cunha;Montenegro;Notebook;9;573.21;5158.89
2025-06-09;Luiz Otávio Fogaça;Pacheco dos Dourados;Teclado;6;1694.55;10167.3
2023-11-01;Thomas Moreira;Lopes da Mata;Teclado;3;1144.66;3433.98
2025-10-01;Maria Clara Sampaio;da Mota;Notebook;2;2208.84;4417.68
2024-06-26;Sra. Fernanda Garcia;Vasconcelos;Mouse;3;1550.45;4651.35
2024-06-13;Amanda Machado;Rocha de Minas;Monitor;8;850.77;6806.16
2025-08-15;Thiago Silveira;Gomes;Notebook;2;1323.67;2647.34
2023-10-30;Léo Ribeiro;Fonseca das Pedras;Smartphone;8;1631.88;13055.04
2024-01-03;Hadassa Peixoto;Brito;Notebook;9;895.39;8058.51
2024-02-13;Benicio Azevedo;da Cunha do Norte;Notebook;10;2413.27;24132.7
2024-02-25;Ágatha Castro;Pires;Mouse;8;530.68;4245.44
2024-07-24;Josué Freitas;Moraes;Notebook;8;2846.27;22770.16
2024-01-02;Juan Ramos;Pinto;Smartphone;7;2879.71;20157.97
2024-10-29;Caroline Ramos;Freitas;Notebook;1;1548.61;1548.61
2025-01-26;Sr. Vicente da Luz;Almeida;Mouse;6;660.63;3963.78
2025-01-07;Ísis Leão;Azevedo do Oeste;Monitor;9;1420.07;12780.63
2024-05-23;Ágatha Leão;Costa;Mouse;7;2537.82;17764.74
2024-03-03;Dr. Gustavo Sá;Mendonça;Monitor;10;656.3;6563.0
2025-09-28;Sarah Rodrigues;Abreu;Smartphone;3;2278.84;6836.52
2024-09-06;Raquel Fogaça;Vieira do Oeste;Monitor;3;2125.23;6375.69
2024-07-17;Apollo Viana;Alves;Monitor;2;2684.15;5368.3
2023-10-15;Maria Julia Sampaio;Freitas das Flores;Notebook;7;740.63;5184.41
2024-09-07;Dra. Cecilia Farias;Rezende da Serra;Monitor;3;191.54;574.62
2024-08-07;Srta. Antonella Farias;Caldeira;Teclado;4;1185.48;4741.92
2025-08-09;Ester Macedo;da Conceição;Mouse;10;2373.37;23733.7
2024-08-03;Isabelly Pires;Leão;Mouse;4;2663.61;10654.44
2024-09-08;Pedro Henrique da Conceição;Pacheco;Notebook;1;2884.45;2884.45
2025-09-10;Lunna da Cunha;Ribeiro;Smartphone;4;397.24;1588.96
2024-12-08;Maria Eduarda Casa Grande;Barros;Smartphone;9;2503.38;22530.42
2024-01-15;Marina Moreira;Brito;Notebook;5;1126.76;5633.8
2024-03-13;Lucas Gabriel Silva;Fonseca do Campo;Teclado;4;250.25;1001.0
2024-06-21;Rodrigo Moura;Vieira;Smartphone;9;252.39;2271.51
2024-09-07;Natália Moreira;Campos;Notebook;9;489.34;4404.06
2023-11-26;Maria Clara Melo;Silva de Montenegro;Smartphone;9;2178.45;19606.05
2025-07-14;Isabel Machado;Vargas;Mouse;4;2271.13;9084.52
2024-05-10;Sr. Matteo Machado;Vargas;Notebook;5;2496.0;12480.0
2025-09-23;Antônio Ramos;Monteiro;Notebook;10;924.24;9242.4
2025-07-27;Yasmin Monteiro;Vieira;Notebook;3;2684.81;8054.43
2023-10-28;Joaquim Moraes;Aparecida;Smartphone;6;317.22;1903.32
2024-11-15;Srta. Manuella Ferreira;Marques de Goiás;Mouse;5;2728.47;13642.35
2025-07-19;Benicio Brito;Mendonça;Notebook;10;417.74;4177.4
2024-03-27;Lívia Cassiano;da Mota de Camargo;Mouse;7;889.62;6227.34
2025-08-26;Srta. Rafaela Gomes;da Conceição de Teixeira;Monitor;1;2240.92;2240.92
2025-03-13;Emanuelly Pastor;Albuquerque da Praia;Teclado;10;2567.01;25670.1
2025-08-25;Heloisa da Costa;Santos;Smartphone;4;1982.08;7928.32
2023-11-23;João Gabriel Dias;da Costa da Prata;Smartphone;7;2687.27;18810.89
2025-04-28;Jade Mendes;Rezende;Notebook;1;1021.89;1021.89
2024-05-12;Marcela Correia;Marques de Macedo;Monitor;1;2898.87;2898.87
2024-09-27;João Vitor Castro;Oliveira do Amparo;Monitor;5;256.55;1282.75
2024-07-18;Allana Cavalcante;Castro do Norte;Smartphone;7;2150.02;15050.14
2024-08-09;João Vitor Moura;Porto de Minas;Notebook;8;2121.76;16974.08
2024-05-12;Srta. Isabella Araújo;Moraes;Smartphone;1;1419.62;1419.62
2025-10-11;Melina Melo;da Cruz;Notebook;2;2386.62;4773.24
2024-02-08;Bruna Ramos;Borges;Smartphone;6;2585.96;15515.76
2025-09-28;Yan Brito;Aragão de Sampaio;Teclado;1;2737.47;2737.47
2025-02-22;Maitê Alves;Mendonça de Cassiano;Teclado;5;1632.76;8163.8
2025-05-16;Sr. Pietro Marques;Guerra;Smartphone;8;216.34;1730.72
2025-01-02;Antonella Brito;Câmara;Teclado;4;1654.76;6619.04
2024-01-27;Maria Julia Pereira;Rios Verde;Mouse;4;299.25;1197.0
2025-07-23;Leandro Mendes;Barros;Monitor;2;1308.64;2617.28
2024-11-29;Nicole Cavalcante;Fogaça do Sul;Mouse;3;1148.26;3444.78
2025-01-17;Matheus das Neves;Sales;Notebook;2;2337.7;4675.4
2025-03-12;Maria Laura Duarte;Porto;Teclado;8;2684.89;21479.12
2025-01-26;Srta. Alexia Cirino;Mendes do Sul;Mouse;5;848.87;4244.35
2024-11-22;Aurora da Rocha;Casa Grande;Smartphone;7;2994.78;20963.46
2024-01-23;Rhavi Sousa;Gomes;Notebook;2;2211.72;4423.44
2025-09-28;Bryan da Luz;Cavalcante de Freitas;Mouse;10;2101.56;21015.6
2025-01-05;Dra. Sophie Rezende;da Paz de Camargo;Monitor;3;2932.6;8797.8
2025-09-24;Henrique Andrade;Nogueira;Smartphone;7;416.92;2918.44
2023-11-23;Agatha da Paz;Ferreira;Teclado;3;1917.46;5752.38
2025-01-30;Vitor Sampaio;Peixoto de Minas;Mouse;1;1019.15;1019.15
2025-05-14;Dr. Yago Gonçalves;Moreira de Montenegro;Smartphone;4;2937.48;11749.92
2024-05-01;Benício Dias;Souza da Prata;Monitor;4;940.17;3760.68
2024-11-11;Ravy Novais;Câmara de Minas;Monitor;7;1306.67;9146.69
2024-08-15;Dra. Milena Sá;Monteiro;Notebook;6;1754.91;10529.46
2024-03-17;Dra. Lívia Pires;da Rocha do Campo;Monitor;7;2367.23;16570.61
2025-07-18;Miguel Gomes;Cavalcante de Goiás;Teclado;10;1566.24;15662.4
2024-08-07;Pedro Lucas Fogaça;Pereira da Prata;Notebook;3;504.36;1513.08
2023-10-19;Brayan Sousa;Viana do Oeste;Teclado;3;768.18;2304.54
2024-03-08;Luiz Felipe Silva;Pinto;Notebook;8;1099.77;8798.16
2024-09-29;Isis Correia;da Mata;Mouse;9;777.77;6999.93
2024-08-04;Srta. Fernanda Santos;Montenegro;Mouse;7;1656.94;11598.58
2024-05-11;Enrico Pacheco;Garcia Grande;Monitor;6;643.96;3863.76
2025-07-10;Dra. Bruna Porto;Vasconcelos;Mouse;2;1103.27;2206.54
2025-03-17;Mathias Melo;Almeida das Pedras;Teclado;2;2930.28;5860.56
2024-06-17;Maria Liz Jesus;Dias;Mouse;7;1472.68;10308.76
2024-04-11;Thomas das Neves;Rios de da Rosa;Teclado;3;1933.39;5800.17
2024-04-03;Rael Vargas;Pereira;Teclado;2;1148.29;2296.58
2024-11-29;Diego da Conceição;Lima dos Dourados;Teclado;7;1697.94;11885.58
2024-11-24;Laís Pacheco;Ramos;Smartphone;2;681.7;1363.4
2024-09-17;Srta. Maria Souza;Caldeira;Teclado;5;343.2;1716.0
2025-06-12;Marcela Siqueira;Carvalho;Monitor;2;604.12;1208.24
2025-08-16;Levi Cunha;Sales da Mata;Smartphone;10;1713.67;17136.7
2025-07-07;Mirella Sousa;Nunes Paulista;Notebook;9;2671.62;24044.58
2024-06-14;Pedro Henrique Oliveira;Ferreira da Prata;Teclado;8;1021.65;8173.2
2025-03-24;Sr. Enzo Gabriel Monteiro;Nogueira da Prata;Monitor;9;1237.26;11135.34
2025-04-15;Luara Leão;Gomes das Flores;Teclado;7;565.11;3955.77
2024-04-20;Miguel da Paz;Fonseca da Serra;Mouse;1;217.97;217.97
2025-01-27;Vitor Martins;Caldeira do Amparo;Mouse;5;1852.12;9260.6
2025-04-10;Dra. Ana Cecília Albuquerque;das Neves das Pedras;Teclado;9;735.43;6618.87
2024-08-01;Fernando Teixeira;Nunes do Galho;Monitor;6;1471.77;8830.62
2023-12-01;Alana da Rosa;Vasconcelos;Monitor;9;2558.16;23023.44
2024-01-03;Mathias Cavalcanti;Martins;Smartphone;4;231.98;927.92
2024-08-22;Dr. Luiz Fernando Vargas;Lopes;Monitor;8;543.51;4348.08
2024-09-07;Rhavi Sales;Guerra;Smartphone;7;1229.63;8607.41
2025-09-28;Dr. Luiz Felipe Novais;da Costa do Galho;Monitor;1;405.63;405.63
2024-04-28;Noah da Mata;Pastor;Smartphone;4;2003.29;8013.16
2024-10-28;Yago Araújo;Rocha;Mouse;2;2795.93;5591.86
2025-01-19;Isaac da Cunha;Dias;Smartphone;2;1980.99;3961.98
2025-03-21;Sofia Rios;da Paz do Amparo;Teclado;10;1474.94;14749.4
2024-12-17;Maria Vitória Farias;Barbosa Paulista;Monitor;4;116.95;467.8
2025-09-15;Sra. Antonella Vargas;Macedo;Monitor;7;1145.11;8015.77
2025-10-05;Ravi da Conceição;Vargas;Teclado;6;1274.62;7647.72
2025-01-29;Lunna Azevedo;da Mata da Praia;Mouse;1;740.24;740.24
2023-11-24;Manuella Borges;Barros;Teclado;2;1471.5;2943.0
2025-05-26;Srta. Rebeca Novais;Rios;Monitor;10;2276.74;22767.4
2024-11-13;Danilo da Conceição;Macedo;Monitor;9;1943.99;17495.91
2025-05-06;Rafael Câmara;Oliveira;Notebook;10;620.33;6203.3
2024-10-20;Maria Vitória Vargas;Cirino;Smartphone;2;550.94;1101.88
2024-07-28;Sr. Carlos Eduardo Novaes;Casa Grande do Galho;Mouse;4;1360.61;5442.44
2024-05-06;Fernanda Pereira;Andrade de Aragão;Teclado;7;2075.75;14530.25
2024-02-25;Hellena Vieira;Fernandes do Campo;Notebook;8;1901.7;15213.6
2025-10-09;Clara Barros;Rezende do Galho;Teclado;8;1649.76;13198.08
2024-02-23;Thiago Sousa;da Costa;Smartphone;4;2458.28;9833.12
2024-01-19;Rodrigo Teixeira;Borges;Smartphone;3;1150.76;3452.28
2023-11-14;Arthur Camargo;Gomes;Monitor;6;1214.1;7284.6
2025-02-03;Eduarda Casa Grande;da Mata;Notebook;4;1292.59;5170.36
2024-08-02;Miguel Leão;Cassiano de Viana;Monitor;2;1094.68;2189.36
2025-06-01;Olivia Borges;Silva;Mouse;7;2458.61;17210.27
2024-05-18;Arthur Gabriel Carvalho;Sales;Mouse;3;2082.9;6248.7
2024-06-17;Isis Pacheco;Vargas;Monitor;3;2576.41;7729.23
2023-10-19;Esther Oliveira;Vieira do Galho;Teclado;4;2621.08;10484.32
2023-10-21;Arthur Gabriel Oliveira;Azevedo;Smartphone;6;2399.54;14397.24
2024-11-04;Jade Viana;Albuquerque;Smartphone;6;456.12;2736.72
2025-07-20;Igor Gomes;Correia;Notebook;8;2025.9;16207.2
2024-09-27;Sr. Ian Jesus;Silva;Monitor;8;1211.12;9688.96
2025-01-10;Benjamin Guerra;Pires;Teclado;5;2769.07;13845.35
2024-06-11;Isis Vargas;Porto do Norte;Mouse;3;1124.16;3372.48
2023-11-27;Eloah Gomes;Alves;Monitor;5;357.55;1787.75
